"pd_location","signal_width","rise_time","fall_time","peak_voltage","polarity","mean","rms","sd","Skewness","kurtosis","crest","formFactor","MainFreq","phase_angle","T","W","pC","pd_class"
337512,15,7,8,0.008235925,-1,0.005048548,0.005754513,0.002852196,0.4047463,1.759174,1.431212,1.139835,0,60.75216,23.10574,7.930958,161.5535,"1"
318435,16,7,9,0.003068755,-1,0.001957937,0.002223191,0.00108553,0.5278651,1.844903,1.380338,1.135476,0,57.3183,23.92171,8.070415,66.56987,"1"
1260557,16,7,9,0.002396441,1,0.001408785,0.001617375,0.000818951,0.3165746,1.707578,1.481685,1.148064,0,226.9003,23.99744,7.672644,47.89868,"1"
1463505,16,7,9,0.002784343,1,0.001712039,0.001950774,0.000963895,0.4126907,1.705618,1.427302,1.139445,0,263.4309,24.01004,8.091002,58.20934,"1"
108868,15,6,9,0.008403673,-1,0.005056656,0.005770956,0.002872243,0.4086931,1.80487,1.456201,1.141259,0,19.59624,24.08116,7.836062,161.813,"1"
1125635,16,7,9,0.004780188,1,0.002827749,0.003284454,0.001722191,0.4088085,1.685684,1.455398,1.161508,0,202.6143,24.60891,8.591254,96.14347,"1"
152019,17,8,9,0.003143595,-1,0.001825652,0.002086244,0.001038929,0.2452418,1.73291,1.506821,1.142739,0,27.36342,26.32793,6.595213,65.72346,"1"
989825,17,8,9,0.003957227,1,0.002279417,0.0026313,0.001352644,0.31117,1.713593,1.503906,1.154374,0,178.1685,27.86731,6.772387,82.05901,"1"
594929,14,4,10,0.001872218,-1,0.001199672,0.001361208,0.00066575,0.5581661,1.958699,1.375409,1.13465,0,107.0872,22.25688,10.04985,35.99016,"1"
1274271,15,5,10,0.004770181,1,0.002967129,0.003377007,0.001665434,0.467593,1.819073,1.412547,1.138139,0,229.3688,23.31126,8.091381,94.94814,"1"
1069339,16,6,10,0.00318228,1,0.001994051,0.002314045,0.001210259,0.5150628,1.700669,1.375202,1.160474,0,192.481,24.18642,9.350789,67.79774,"1"
148092,16,6,10,0.006009585,-1,0.003588713,0.004112323,0.00206987,0.2731147,1.729694,1.46136,1.145905,0,26.65656,24.67807,7.643108,122.0162,"1"
287900,17,7,10,0.002446415,-1,0.001454395,0.001670783,0.000846185,0.3792645,1.72552,1.464233,1.148782,0,51.822,25.68778,6.792538,52.35823,"1"
206357,17,7,10,0.003693366,-1,0.002170086,0.002483039,0.001241721,0.2579287,1.740056,1.487438,1.144212,0,37.14426,27.14494,6.52135,78.12308,"1"
1207273,18,8,10,0.003375575,1,0.001949825,0.002265968,0.001186103,0.3313621,1.691835,1.489683,1.16214,0,217.3091,27.53847,6.304895,74.09334,"1"
1011649,18,8,10,0.003085207,1,0.001680418,0.001981798,0.001079368,0.1946356,1.644557,1.556772,1.179348,0,182.0968,27.81929,6.58552,63.85588,"1"
1142683,15,4,11,0.002630611,1,0.001622705,0.001880338,0.000981155,0.3789044,1.806602,1.39901,1.158767,0,205.6829,23.36996,9.700825,51.92657,"1"
1228266,16,5,11,0.004407756,1,0.002601875,0.003023155,0.001586763,0.3690545,1.669608,1.457999,1.161914,0,221.0879,23.37161,9.006779,88.46375,"1"
